composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
127,3.095,community/meetup,fintech_devcon 2027,Denver/Colorado,Boulder; in person,in-person,2027-08-02,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Adaptive, Benchmarks, Retrieval, Failure, and Parallelization—only with a real fintech roadblock",82,80,65.6,2.38,2,Near a preferred city or within the Denver/Front Range area.,5,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Official speaker form closes 2027-03-01 at 11:59 p.m. PST,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://fintechdevcon.io/call-for-speakers/
128,3.095,community/meetup,Cloud Native Amsterdam,Overseas from March 2027,"Amsterdam, Netherlands; in person",in-person,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA, technical FT",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Public organizer/platform signal of at least 413.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Official chapter publishes a direct talk-proposal email and organizer contact form,Review the public route and decide whether to prepare the indicated talk or demo format.,"Format, language, economics and future dates unknown. Email outreach was not performed. official chapter and proposal route",https://community.cncf.io/cloud-native-amsterdam/
129,3.095,community/meetup,Cloud Native Berlin,Overseas from March 2027,"Berlin, Germany; in person",in-person,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA, technical FT",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Public topic-proposal form linked from official CNCF event pages,Review the public route and decide whether to prepare the indicated talk or demo format.,"Current proposal-form status, language, duration and economics need recheck. official event and proposal link, CNCF community activity rules",https://community.cncf.io/events/details/cncf-cloud-native-berlin-presents-kubernetes-amp-cloud-native-berlin-meetup-pre-kubecon-special/
130,3.117,conference/event,INQAAHE Biennial Conference,INQAAHE Conference 2027,"Doha, Qatar",in-person,2027-04-04,open,2026-10-31,evidence-learning,"Outsmart Your Lying, Cheating Students",,"The 2027 subtheme names authorship, assessment validity, qualification credibility, and human-centered AI; prior program shows strong appetite.",85.0,92.0,78.2,1.87,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 56 days.,"Forward-looking, critical, practice-oriented proposal; accessible to international QA audience; interactive",Reframe from classroom tactics to a QA case about what evidence institutions should require and how humans review it.,"FINALIST; international QA framing and possible credentials expectations; travel/economics unknown | Speaker economics, visa support, rights, accessibility, registration requirements, and Dan's QA credentials are unknown.",https://inqaahe2027-doha.org/call-for-proposals/
131,3.12,conference/event,Bett UK,Bett UK 2027,"London, UK",in-person,2027-01-20,rolling,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Bett asks for practical, evidence-informed, strategic sessions and specifically wants assessment, feedback, AI, workload, and student engagement",82.0,83.0,68.1,2.28,5,Overseas before the stated six-month travel window.,3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",5,"Public organizer/platform signal of at least 37,000 members, registrations, attendees, or reach.",3,Open or rolling route without a confirmed actionable deadline.,"Bio max 150 words, headshot, title, description, three takeaways, target audience; speaking links optional",Treat as reserve/2028 lead; verify speaker economics before supplying profile materials,"First-look deadline passed; current submissions feed reserve list or 2028; headshot, bio, job title, and organization required and not supplied | First-look deadline passed; reserve-list status and selection timing unclear; economics, rights, and Dan's job title/organization unknown",https://uk.bettshow.com/call-for-speakers
132,3.203,conference/event,European Chatbot & Agentic AI Summit,European Chatbot & Agentic AI Summit 2027,"Edinburgh, UK",in-person,2027-03-16,conflicting-official-pages,2026-10-01,retrieval,From RAGs to Retrievals,,"RAG, agentic AI, LLMOps, infrastructure, and human-AI collaboration are named topics.",73.0,82.0,59.9,2.61,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,2,Confirmed deadline in 26 days.,unknown,Recheck the speaker form and event dates; do not rely on October 1 until status conflict is resolved.,Official homepage conflicts with CFP page on open status and event dates; formats/economics unknown | CFP page says March 16–19; homepage says March 16–18 and main event March 17–18; homepage also says CFP opens soon while CFP page invites applications; formats and economics unknown,https://theeuropeanchatbot.com/call-for-speakers/
133,3.27,conference/event,Bett Asia,Bett Asia 2027 reserve/forward call,unknown,unknown,,rolling,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,Good audience and editorial fit; current form accepts reserve-list/2027 proposals,76.0,83.0,63.1,2.48,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Form requests profile and proposal information; exact limits not fully captured,Keep as incomplete rolling lead; verify edition details before any submission,"No 2027 dates/deadline/location; economics and selection timing unknown | No 2027 edition date, deadline, location, economics, rights, or accessibility confirmed; form says reserve list or 2027",https://asia.bettshow.com/page-en/call-for-papers
134,3.285,conference/event,CTO Craft Con Europe,CTO Craft Con Europe 2027,"London, United Kingdom",in-person,2027-03-15,open-undated-with-stale-label,,judgment,Code Is Cheap. Judgment Is Expensive.,failure-improvement,Senior CTO and VP Engineering audience is exact; public content form exists but carries stale edition labeling.,74.0,90.0,66.6,2.34,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,"Experience-led content, biography and previous-talk information.","Wait until the call identifies the 2027 edition unambiguously, then confirm eligibility.","Call page title references 2026 while event shell shows 2027; deadline and Dan's senior-leadership credentials are unknown. | Deadline, format, travel/hotel, fee, accessibility, attendance and Dan's senior-leadership eligibility evidence unknown. | Edition labeling conflict; deadline, format, travel/hotel, fee, rights license, accessibility and attendance unknown. | MERGE CONFLICTS/VARIANTS — cfp_status: open-undated-with-stale-label | open-undated; eligibility: Public form is reachable but page title references 2026 while event shell shows 2027 dates. | Experienced senior technology leaders; public application route.; submission_requirements: Experience-led content, biography and previous-talk information. | Experience-led proposal; bio and prior talks requested.; verified_at: 2026-09-04T22:25:00-06:00 | 2026-09-05T00:20:00-06:00",https://conference.ctocraft.com/london/call-for-content/
135,3.295,conference/event,LDX3 London / LeadDev,LDX3 London 2027,"London, UK",in-person,2027-06-28,announced-not-open,,retrieval,From RAGs to Retrievals,,LeadDev serves senior engineering leaders and has current programming on durable skills and AI adoption.,65.0,70.0,45.5,3.18,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,unknown,Monitor for a 2027 CFP and adapt outcomes toward architecture communication and staff development.,"No current CFP; talk needs explicit leadership decisions and team enablement | No current CFP found; formats, economics, rights, accessibility, and exact venue unknown",https://leaddev.com/
136,3.295,community/meetup,AI Builders SG recurring jam,Overseas from March 2027,Singapore; in person,in-person,,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"AS, RT, PA, FI; project-based FT",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Luma page explicitly invites presenters to send a project link through Contact the Host,Review the public route and decide whether to prepare the indicated talk or demo format.,"Requires a project/showcase rather than a finished keynote; future dates, talk length, selection and support unknown. first-party Luma event",https://luma.com/9pbbv5ja
137,3.303,conference/event,FinOps Connect,FinOps Connect rolling meetup route,"London and virtual, UK",hybrid,,rolling,,free-tier,Cry Me a Free Tier,,The group explicitly hosts virtual and in-person practical FinOps meetups and previously programmed AI cloud funding.,83.0,72.0,59.8,2.61,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Organizer-message route; no formal deadline,Keep as low-friction community rehearsal route; seek a dated speaker invitation before action.,"FINALIST; small reach; unclear whether 'hosting' includes proposing a talk; no formal CFP or date | Whether hosting means proposing editorial content; next date, format, economics, and rights",https://www.meetup.com/finops-connect/
138,3.308,conference/event,MLOps Community Meetups,MLOps Community local meetup route,Worldwide,hybrid,,rolling,,retrieval,From RAGs to Retrievals,,MLOps Community includes engineers and technical product managers and says local groups program two to three speakers.,69.0,64.0,44.2,3.23,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,Local organizer route; no universal CFP/deadline,Select a chapter only when it publishes a dated event or speaker route; do not mass-contact organizers.,"No universal speaker form/date; chapter depth varies; location and format must be resolved | Specific chapter/date, format, economics, language, and whether bridge-level talk fits local depth",https://mlops.community/meetups
139,3.31,conference/event,Berlin FinOps and Cloud Cost Optimization,Berlin FinOps rolling meetup route,"Berlin, Germany",in-person,,rolling,,free-tier,Cry Me a Free Tier,,Specialist audience and active regional history.,76.0,58.0,44.1,3.24,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Public organizer/platform signal of at least 340.,3,Open or rolling route without a confirmed actionable deadline.,Message organizer; no formal CFP found,Monitor new events for a public call before using organizer message route.,"No explicit speaker invitation or dated event; language and economics unknown | No explicit speaker invitation text; next date, language, format, and economics unknown",https://www.meetup.com/berlin-finops/
140,3.328,conference/event,LILAC,LILAC 2027,"London, United Kingdom",in-person,2027-04-21,announced-not-open,2026-11-11,evidence-learning,"Outsmart Your Lying, Cheating Students",,"Credible adjacent audience and explicit demand for deeper AI work, but information literacy must be central rather than decorative.",63.0,67.0,42.2,3.31,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Confirmed deadline in 67 days.,Account required; abstract; must go beyond generic AI-adoption or AI-literacy coverage,Review presentation types when the call opens and only proceed with a genuine information-literacy adaptation.,"CFP opens September 21; narrower disciplinary fit; UK travel/economics unknown | CFP opens 2026-09-21; topic requires stronger information-literacy framing; economics, rights, accessibility incomplete.",https://www.lilacconference.com/lilac-2027/call-for-presentations-1
141,3.335,conference/event,CloudFest,CloudFest 2027,"Rust, Germany",in-person,2027-03-15,invitation-only-or-unknown,,free-tier,Cry Me a Free Tier,,Cloud and internet-infrastructure audience and value theme fit; reach is strong.,63.0,58.0,36.5,3.54,3,Other domestic location.,5,No ordinary public speaking route is currently verified.,5,"Public organizer/platform signal of at least 10,900 members, registrations, attendees, or reach.",4,"Announced, undated, or route status still needs confirmation.",unknown,Keep as invitation-only lead; exclude partner speaking from editorial shortlist.,No editorial CFP found; partner page offers speaking through commercial packages | No public editorial CFP verified; partner packages may include speaking and must remain separate,https://www.cloudfest.com/event
142,3.38,conference/event,IEEE International Conference on Software Architecture,ICSA 2027 Software Architecture in Practice,"Sydney, Australia",in-person,2027-03-08,open,2026-10-30,adaptive-systems,Building Adaptive & Dynamic AI Systems,,ICSA SAIP explicitly invites AI integrated into architecture and practical solutions in defined contexts; 2026 program shows agentic AI and human-oversight appetite.,89.0,92.0,81.9,1.72,3,Other domestic location.,5,"Hard credential, publication, domain, or firsthand-evidence requirement.",1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 55 days.,Two-page maximum technical-talk proposal; IEEE format/guidelines; not previously published or simultaneously under review; accepted proposal published in companion proceedings,Decide whether publication/simultaneous-submission restrictions are acceptable before investing in the two-page technical-talk proposal.,"Requires a two-page IEEE-formatted proposal, exclusivity while under review, publication, registration, and in-person Sydney presentation. | Conference start/end inferred from official 2027 track context and should be rechecked on home page; registration cost, travel support, honorarium, accessibility, and exact copyright agreement unknown.",https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track
143,3.38,conference/event,Taqelah Testing Conference,Taqelah Testing Conference 2027,"Singapore, Singapore",in-person,2027-03-04,open,2026-10-30,failure-improvement,Automating Improvement From Failure,parallelization,Testing audience and AI-testing precedent are strong; organizer advertises a 25-minute talk route.,82.0,100.0,82.0,1.72,5,Overseas before the stated six-month travel window.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 55 days.,Talk proposal and speaker details.,"Verify the submission form details, then prepare the 25-minute version by October 30.","Format/travel evidence partly comes from organizer social post; intercontinental support may not cover actual travel. | CFP form details, economics, rights, accessibility, and deadline time zone unknown | Official site did not reproduce format/economics details; verify in submission flow. Hotel, costs, rights, accessibility and multiple-submission rules unknown. | MERGE CONFLICTS/VARIANTS — edition_label: Taqelah Testing Conference 2027 | TTC 2027; date_status: exact | confirmed; eligibility: Public CFP. | First-time and seasoned speakers invited; formats_and_durations: 25-minute talks and half-day workshops reported by organizer social post | Talk; workshop; exact durations not verified; submission_requirements: Talk proposal and speaker details. | Testing story and proposal via CFP; verified_at: 2026-09-05T00:08:00-06:00 | 2026-09-04T23:00:00-06:00",https://ttc.taqelah.sg/
144,3.4,conference/event,Softwarearchitektur Wien,Softwarearchitektur Wien meetup route,"Vienna, Austria",in-person,,unknown,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,Small architecture community has hosted 45-minute-style practical talks and AI-adjacent content.,60.0,50.0,30.0,3.8,3,Other domestic location.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,4,"Announced, undated, or route status still needs confirmation.",Past event had two or three speakers and 45-minute blocks,Keep as a community lead; take no outreach action unless the user later authorizes it and a public route is evidenced.,"No public CFP or future event date; language and travel economics unknown. | No evidenced public speaker application route, future date, or economics; community outreach is not authorized.",https://www.meetup.com/de-de/softwarearchitektur-wien/
145,3.41,conference/event,KMWorld Europe,KMWorld Europe 2027,"London, United Kingdom",in-person,2027-04-14,conflicting,2026-10-09,judgment,Code Is Cheap. Judgment Is Expensive.,product-engineering,Knowledge-management audience is adjacent; useful for the organizational-memory section but weaker for software delivery.,59.0,100.0,59.0,2.64,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",1,Little public popularity evidence beyond the event or route itself.,2,Confirmed deadline in 34 days.,"Title, abstract, relevant bio and presenter contact details.",Recheck until the page unambiguously identifies the 2027 call; do not rely on October 9.,"Official page conflicts on open status, edition year and deadline; real-experience preference. | CFP year/status conflict prevents actionable deadline claim; economics beyond pass, rights, accessibility and attendance unknown.",https://www.kmworld.com/Europe/2027/CallForSpeakers.aspx
146,3.41,conference/event,DevOpsDays Tel Aviv,DevOpsDays Tel Aviv 2026,"Tel Aviv, Israel",in-person,2026-12-22,conflicting-official-pages,2026-09-25,free-tier,Cry Me a Free Tier,,Local page supports exact 30-minute format and no-vendor-pitch positioning.,50.0,48.0,24.0,4.04,5,Overseas before the stated six-month travel window.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 20 days.,"Email type, title, and description",Do not rely on September 25 until the local page and global index agree.,"Official open-status conflict; language, travel/safety, and economics unknown | Local page says CFP TBD while global index says open with 2026-09-25 deadline; language, safety/travel, economics, rights unknown",https://devopsdays.org/events/2026-tel-aviv/propose/
147,3.415,conference/event,Voxxed Days Luxembourg,Voxxed Days Luxembourg 2027,"Luxembourg, Luxembourg",in-person,2027-06-21,announced-not-open,,retrieval,From RAGs to Retrievals,,"Tracks cover architecture, cloud, AI, big data/ML, DevOps, and testing; broad experienced-developer audience fits.",61.0,55.0,33.5,3.66,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,CFP announced for early November through December 2026,Prepare the 40-minute version and recheck when the official page opens the CFP in November.,"CFP only announced by month; exact dates, formats, and economics unknown | Exact open/close dates, format, economics, rights, accessibility, travel",https://luxembourg.voxxeddays.com/en/
148,3.43,conference/event,Great International Developer Summit,GIDS 2027,"Bengaluru, India",in-person,2027-04-27,open,2026-09-30,judgment,Code Is Cheap. Judgment Is Expensive.,parallelization,"Strong engineering, architecture and leadership audience with an exact 30-minute slot and explicit systems-thinking themes.",97.0,100.0,97.0,1.12,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",5,"Hard credential, publication, domain, or firsthand-evidence requirement.",1,Little public popularity evidence beyond the event or route itself.,2,Confirmed deadline in 25 days.,"Technical abstract, system/problem, decisions, constraints, takeaways, speaker experience and optional prior recording.","Proceed only after identifying truthful firsthand evidence; if available, submit by September 30.","Must be grounded in work Dan directly did or materially contributed to; a qualifying firsthand organizational case is unknown. | Honorarium, visa support, accessibility, recording rights, and whether a 40-minute source deck can be accepted as 30 minutes without loss are unknown. | Recording rights, accessibility, exact reimbursement eligibility, and deadline time zone unknown | Dan's qualifying firsthand case details, travel origin, full reimbursement rules, recording rights, accessibility and attendance unknown. | Synthetic/proposed architecture may fail real-experience bar; travel origin, rights, accessibility and attendance unknown. | Dan's direct-work evidence and employer support; honorarium, rights, accessibility, and final support approval | MERGE CONFLICTS/VARIANTS — date_status: exact | confirmed; eligibility: Content must be grounded in real engineering work the speaker directly did or materially contributed to; up to five proposals. | Public CFP; international speakers encouraged to submit multiple 60-minute sessions | Real engineering experience; no promotion | Original content based on work the speaker directly did or materially contributed to; up to five proposals. | Original content based on work directly done or materially contributed to; form asks technical depth and speaking experience; formats_and_durations: 30-minute short talk; 60-minute long talk | 60-minute long talk; 30-minute short talk | 30- or 60-minute talk; international speakers encouraged toward 60 minutes and multiple talks | 30-minute short talk; 60-minute long talk.; submission_requirements: Technical abstract, system/problem, decisions, constraints, takeaways, speaker experience and optional prior recording. | Up to five proposals; technical abstract; system problem; decisions/tradeoffs; takeaways; practitioner-depth declaration; bio/photo; no product promotion | Proposal with decisions, tradeoffs, constraints, and experience | Practical, vendor-neutral proposal with real engineering experience and speaker details. | Up to five proposals; system problem, decisions, tradeoffs, outcomes, biography, photo, affiliation, and support needs; compensation: Conference access; international travel reimbursement may be available up to USD 1500 and two hotel nights at organizer discretion. | Full conference access; support is discretionary | Conference access; discretionary international reimbursement. | unknown; travel_support: Up to USD 1500 for selected international speakers; reimbursement after event; discretionary. | Selected international speakers may receive up to USD 1,500 travel and two hotel nights; reimbursement after event | Up to USD 1,500 travel reimbursement plus two hotel nights; discretionary and paid after event | Up to USD 1500 and two hotel nights may be offered to selected international speakers. | Selected international speakers may receive up to US$1,500 travel and two hotel nights; discretionary and reimbursement-based; speaker_costs: Full conference access for selected speakers; co-speaker must buy pass unless approved | Full conference pass; recording_rights: Recording rights not stated | unknown; attendance_value: 150+ sessions on official site | 150; verified_at: 2026-09-04T21:20:00-06:00 | 2026-09-04T23:30:00-06:00 | 2026-09-04T23:00:00-06:00 | 2026-09-04T23:35:00-06:00 | 2026-09-04T12:00:00-06:00",https://form.jotform.com/saltmarch/gids2027cfp
149,3.448,conference/event,Open Source Summit North America,Open Source Summit North America 2027,"Vancouver, Canada",in-person,2027-05-17,announced-not-open,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,Broad open-source audience; fit depends on demonstrable open-source components.,58.0,52.0,30.2,3.79,4,Canada or Mexico: feasible but outside the preferred domestic list.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Open or rolling route without a confirmed actionable deadline.,,Wait for track descriptions and submit only if an authentic open-source implementation angle exists.,"CFP details coming soon; base talk has no explicit open-source project dependency. | Official calendar says CFP details coming soon; exact AI/agent tracks and all submission economics unknown. | CFP dates, tracks, formats, terms, economics, rights, and accessibility not published | MERGE CONFLICTS/VARIANTS — edition_url: https://events.linuxfoundation.org/open-source-summit-north-america/ | https://events.linuxfoundation.org/about/calendar/; date_status: confirmed | exact; cfp_url: https://events.linuxfoundation.org/open-source-summit-north-america/ | https://events.linuxfoundation.org/about/calendar/; guidelines_url: https://events.linuxfoundation.org/open-source-summit-north-america/ | https://events.linuxfoundation.org/about/calendar/; verified_at: 2026-09-04T23:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://events.linuxfoundation.org/open-source-summit-north-america/
150,3.452,conference/event,DevOpsDays Almaty,DevOpsDays Almaty 2026,"Almaty, Kazakhstan",in-person,2026-10-16,open,2026-10-01,free-tier,Cry Me a Free Tier,,Open regional community route with a matching event format family.,55.0,36.0,19.8,4.21,5,Overseas before the stated six-month travel window.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 26 days.,unknown,Recheck the local propose page before deciding whether the October 1 deadline is usable.,"Deadline is official but local rules/form were not extractable; travel, language, economics, and audience detail unknown | Local propose page could not be extracted; deadline comes from official global index; all requirements and economics unknown",https://devopsdays.org/events/2026-almaty/propose/
151,3.478,conference/event,AGNTCon + MCPCon Europe,AGNTCon + MCPCon Europe 2027,"London, United Kingdom",in-person,2027-09-15,announced-not-open,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,Direct agent/MCP venue announced by Linux Foundation; details forthcoming.,73.0,58.0,42.3,3.31,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,,Check official event page when created and evaluate against any earlier Linux Foundation appearance.,"No CFP, format, rules, or economics published; reuse may conflict with Linux Foundation repeat rule. | Official calendar says CFP details coming soon; route, formats, and economics unknown.",https://events.linuxfoundation.org/about/calendar/
152,3.48,conference/event,PyData Venice,PyData Venice 2026 series,"Mestre, Italy",hybrid,2026-08-27,rolling,,failure-improvement,Automating Improvement From Failure,parallelization,Relevant MLOps/LLMOps audience and hybrid delivery; broad rather than exact testing/platform fit.,72.0,100.0,72.0,2.12,5,Overseas before the stated six-month travel window.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,"Technical talk in data science, ML engineering, MLOps/LLMOps or adjacent tooling.",Check which remaining 2026 meetup date still accepts sessions and whether remote delivery is allowed.,"Exact next available date, duration and economics unknown. | Format, economics, rights, accessibility, attendance and exact next available slot unknown.",https://sessionize.com/pydata-venice
153,3.495,conference/event,Experts Live UK,Experts Live UK 2027,"London, United Kingdom",in-person,2027-05-18,announced-not-open,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Some topical overlap, but audience is specifically Microsoft 365/Copilot operations.",52.0,78.0,40.6,3.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Actionable practitioner story; no product pitch,Exclude unless Dan confirms relevant Microsoft-estate experience; otherwise monitor only.,CFP not open and dates provisional; requires real Microsoft production story not supplied. | CFP dates are provisional until Sessionize opens; fit is weak without a Microsoft 365/Copilot case study; travel cap and honorarium unknown.,https://expertslive.co.uk/become-a-speaker/
154,3.495,community/meetup,Lorong AI calendar,Overseas from March 2027,Singapore; in person at One-North and Cross Street,in-person,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA, JU",82,80,65.6,2.38,4,"Overseas at or after the stated six-to-nine-month travel window, or an undated future overseas route.",4,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Luma calendar has a public Submit Event route; individual talk acceptance is organizer-curated,Review the public route and decide whether to prepare the indicated talk or demo format.,"Submit Event is not a guaranteed speaker CFP; audience size, selection rules, duration and economics unknown. Luma calendar, community site",https://luma.com/lorong-ai
155,3.532,conference/event,Think!AI Summit,Think!AI Summit 2027,"Pittsburgh, United States",in-person,2027-02-18,announced-not-open,2026-11-20,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Strong agentic AI/reality-check/responsible AI themes, but the organizer requires an actual implementation and measurable learning.",65.0,72.0,46.8,3.13,3,Other domestic location.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 76 days.,"Specific implementation, outcomes, lessons, and transferable takeaways; no sales pitches or live demos",Do not prepare a submission until Dan confirms a truthful real-world implementation story that meets the guidelines.,"CFP not open; real implementation/results requirement may be a hard barrier because supplied materials describe a deterministic fixture, not deployed infrastructure. | Dan's actual production case-study basis and regional connection unknown; submission form not yet open; economics, rights, accessibility, and attendance unknown. | Opening date, economics, rights, accessibility, and whether supplied examples satisfy experience bar unknown | MERGE CONFLICTS/VARIANTS — date_status: confirmed | exact; eligibility: Real-world implementation required; practitioners prioritized; regional voices encouraged | Actual implementation, outcomes, and lessons required; submission_requirements: Specific implementation, outcomes, lessons, and transferable takeaways; no sales pitches or live demos | Abstract; no live demos or product pitches; verified_at: 2026-09-04T23:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
156,3.553,conference/event,IEEE International Conference on Software Architecture,ICSA 2027 Tutorials / Technical Briefings,"Sydney, Australia",in-person,2027-03-08,open,2026-12-20,adaptive-systems,Building Adaptive & Dynamic AI Systems,,Exact software-architecture audience and AI-system relevance.,83.0,78.0,64.7,2.41,3,Other domestic location.,5,"Hard credential, publication, domain, or firsthand-evidence requirement.",1,Little public popularity evidence beyond the event or route itself.,3,Confirmed deadline in 106 days.,PDF proposal through EasyChair; brief speaker information; optional/accepted two-page IEEE companion abstract,Prefer SAIP technical talk; retain this as backup only after confirming duration and whether the demo can support an interactive briefing.,"Requires expansion or redesign as a tutorial/briefing; IEEE companion publication option; duration not captured. | Duration, economics, accessibility, and author-rights details unknown; likely requires expansion beyond existing deck.",https://conf.researchr.org/track/icsa-2027/icsa-2027-tutorials-tech-briefings
